"Kabupaten/Kota","KMeans_Cluster","HCluster","DBSCAN_Cluster","Fuzzy_Cluster"
"Lampung Barat",4,1,1,1
"Tanggamus",4,1,1,1
"Lampung Selatan",1,2,2,4
"Lampung Timur",1,2,2,4
"Lampung Tengah",2,2,0,2
"Lampung Utara",1,2,0,4
"Way Kanan",4,1,1,4
"Tulangbawang",4,1,1,1
"Pesawaran",4,1,1,1
"Pringsewu",4,1,1,1
"Mesuji",4,1,1,1
"Tulang Bawang Barat",4,1,1,1
"Pesisir Barat",4,1,1,1
"Kota Bandar Lampung",3,3,0,3
"Kota Metro",4,1,0,1
"Lampung Barat",4,1,1,1
"Tanggamus",4,1,1,1
"Lampung Selatan",1,2,0,4
"Lampung Timur",1,2,2,4
"Lampung Tengah",2,2,3,2
"Lampung Utara",2,2,0,2
"Way Kanan",1,1,1,4
"Tulangbawang",4,1,1,1
"Pesawaran",4,1,1,1
"Pringsewu",4,1,1,1
"Mesuji",4,1,1,1
"Tulang Bawang Barat",4,1,1,1
"Pesisir Barat",4,1,1,1
"Kota Bandar Lampung",3,3,0,2
"Kota Metro",4,1,0,1
"Lampung Barat",4,1,1,1
"Tanggamus",1,1,0,4
"Lampung Selatan",2,2,3,2
"Lampung Timur",2,2,2,2
"Lampung Tengah",2,2,4,2
"Lampung Utara",2,2,5,2
"Way Kanan",1,2,2,4
"Tulangbawang",1,1,1,4
"Pesawaran",4,1,1,4
"Pringsewu",1,1,6,4
"Mesuji",4,1,1,1
"Tulang Bawang Barat",1,1,1,4
"Pesisir Barat",4,1,1,1
"Kota Bandar Lampung",3,4,0,3
"Kota Metro",1,1,7,4
"Lampung Barat",1,1,1,4
"Tanggamus",2,2,0,2
"Lampung Selatan",1,1,0,4
"Lampung Timur",1,2,2,4
"Lampung Tengah",2,2,4,2
"Lampung Utara",2,2,5,2
"Way Kanan",2,2,0,2
"Tulangbawang",4,1,1,1
"Pesawaran",4,1,1,1
"Pringsewu",1,1,6,4
"Mesuji",4,1,1,1
"Tulang Bawang Barat",4,1,1,1
"Pesisir Barat",4,1,1,1
"Kota Bandar Lampung",3,3,0,2
"Kota Metro",1,1,7,4
"Lampung Barat",4,1,1,1
"Tanggamus",1,1,0,4
"Lampung Selatan",2,2,3,2
"Lampung Timur",2,2,3,2
"Lampung Tengah",2,2,4,2
"Lampung Utara",2,2,5,2
"Way Kanan",1,1,1,4
"Tulangbawang",4,1,1,1
"Pesawaran",1,1,1,4
"Pringsewu",1,1,6,4
"Mesuji",4,1,1,1
"Tulang Bawang Barat",4,1,1,4
"Pesisir Barat",4,1,1,1
"Kota Bandar Lampung",3,4,0,3
"Kota Metro",1,1,7,4
