"KMeans_Cluster","Mean_Perawat","Mean_Bidan","Mean_Tenaga_Kefarmasian","Count","Method","Silhouette_Score","HCluster","DBSCAN_Cluster","Fuzzy_Cluster"
1,2362,871,346,1,"K-Means",0.322240837682808,NA,NA,NA
2,641.4,552,77.2,5,"K-Means",0.322240837682808,NA,NA,NA
3,276.6,386.2,52,5,"K-Means",0.322240837682808,NA,NA,NA
4,837.5,906,124,4,"K-Means",0.322240837682808,NA,NA,NA
NA,276.6,386.2,52,5,"Hierarchical",0.322240837682808,1,NA,NA
NA,641.4,552,77.2,5,"Hierarchical",0.322240837682808,2,NA,NA
NA,837.5,906,124,4,"Hierarchical",0.322240837682808,3,NA,NA
NA,2362,871,346,1,"Hierarchical",0.322240837682808,4,NA,NA
NA,805.75,670.416666666667,113.5,12,"DBSCAN",NA,NA,0,NA
NA,211,380.333333333333,42,3,"DBSCAN",NA,NA,1,NA
NA,641.4,552,77.2,5,"Fuzzy C-Means",0.322240837682808,NA,NA,1
NA,837.5,906,124,4,"Fuzzy C-Means",0.322240837682808,NA,NA,2
NA,2362,871,346,1,"Fuzzy C-Means",0.322240837682808,NA,NA,3
NA,276.6,386.2,52,5,"Fuzzy C-Means",0.322240837682808,NA,NA,4
